Rank: 10
log_path: /work/multilingual-gsm-symbolic/hf_dataset/logs/2026-06-23T17-36-20-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@main-synthetic-isl_kh52NWGi762oySfvFAbHE3.eval
eval_id: kV9GmKuEdx6tLhwMS7Esvz
task: hf/danish-foundation-models/multilingual-gsm-symbolic/synthetic_isl@main/synthetic_isl
model: vllm/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
sample_id: 1838
source_id: 406
language: isl
target: 365
usage: {'input_tokens': 195, 'output_tokens': 130877, 'reasoning_tokens': None, 'total_tokens': 131072, 'total_time': 1444.244, 'stop_reason': 'max_tokens'}
time_per_token: 0.011019

Prompt:
[1] user
Leysdu eftirfarandi stærðfræðidæmi skref fyrir skref. Settu lokatölulega svarið (án eininga, gjaldmiðilstákna eða prósenttákna) í \boxed{}, til dæmis: \boxed{42}.

Hjá Ásbjörn er tvisvar meira af epli en sítrónur. Hann hefur alls 88 sítrónur í húsinu sínu. Ásbjörn keypti 68 fleiri sítrónur í búðinni og 35 færri epli en fjöldi sítrónur. Finndu heildarfjölda epli og sítrónur sem Ásbjörn hefur í húsinu?

[2] assistant
  - reasoning: Finn fyrir húslega af svarið Ísfráði, meiri hversum af svarið Ísfráði og húslega af svarið Víslafur.
19. **Hversum af Húsinu og Hversum af Ísfráði**: Hversum af Húsinu og Hversum af Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

20. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

21. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

22. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

23. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

24. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

25. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

26. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

27. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

28. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

29. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

30. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

31. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

32. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

33. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

34. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

35. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

36. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

37. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

38. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

39. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

40. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

41. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

42. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

43. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

44. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

45. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

46. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

47. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

48. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

49. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

50. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

51. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

52. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

53. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

54. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

55. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

56. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

57. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

58. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

59. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

60. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

61. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

62. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

63. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

64. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

65. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

66. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

67. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

68. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

69. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

70. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

71. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

72. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

73. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

74. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

75. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

76. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

77. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

78. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

79. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

80. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

81. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

82. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

83. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

84. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

85. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

86. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

87. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

88. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

89. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

90. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

91. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

92. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

93. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

94. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

95. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

96. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

97. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

98. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

99. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

100. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

101. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

102. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

103. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

104. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

105. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

106. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

107. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

108. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

109. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

110. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

111. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

112. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

113. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

114. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

115. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

116. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

117. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

118. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

119. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

120. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

121. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

122. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

123. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

124. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

125. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

126. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

127. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

128. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

129. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

130. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

131. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

132. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

133. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

134. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

135. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

136. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

137. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

138. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

139. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

140. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

141. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

142. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

143. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

144. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

145. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

146. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

147. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

148. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

149. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

150. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

151. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

152. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

153. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

154. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

155. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

156. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

157. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

158. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

159. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

160. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

161. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

162. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

163. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

164. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

165. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

166. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

167. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

168. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

169. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

170. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

171. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

172. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

173. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

174. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

175. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

176. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

177. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

178. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

179. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

180. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

181. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

182. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

183. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

184. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

185. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

186. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

187. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

188. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

189. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

190. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

191. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

192. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

193. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

194. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

195. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

196. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

197. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

198. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

199. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

200. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

201. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

202. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

203. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

204. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

205. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

206. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

207. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

208. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

209. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

210. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

211. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

212. **Hversum af Ísfráði og Vefni**: Hversum af Ísfráði og Vefni er 35 færi epli, í búsinu.

213. **Hversum af Húsinu og Ísfráði**: Hversum af Húsinu og Ísfráði er 35 - 53 = -18 færi epli, í búsinu.

214. **Hversum af Húsinu og Vefni**: Hversum af Húsinu og Vefni er 35 - 53 = -18 færi epli, í búsinu.

